positionType,publishTime,peopleNum,positionlink,positionname,workLocation
技术类,2019-03-13,1,position_detail.php?id=48380&keywords=&tid=0&lid=0,22989-腾讯云-区域交付leader（上海）,上海
技术类,2019-03-13,1,position_detail.php?id=48381&keywords=&tid=0&lid=0,25664-政府行业技术平台架构师,深圳
技术类,2019-03-13,3,position_detail.php?id=48382&keywords=&tid=0&lid=0,25664-政务应用架构师（深圳）,深圳
职能类,2019-03-13,1,position_detail.php?id=48383&keywords=&tid=0&lid=0,BJ-政府事务经理,北京
技术类,2019-03-13,1,position_detail.php?id=48374&keywords=&tid=0&lid=0,31504-腾讯云大客户售后高级技术顾问（深圳/北京/上海/成都）,北京
产品/项目类,2019-03-13,1,position_detail.php?id=48375&keywords=&tid=0&lid=0,22989-腾讯云云开发高级项目管理,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48377&keywords=&tid=0&lid=0,22989-腾讯云中间件高级项目经理（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48378&keywords=&tid=0&lid=0,22989-腾讯云容器技术高级工程师（北京）,北京
技术类,2019-03-13,1,position_detail.php?id=48379&keywords=&tid=0&lid=0,22989-腾讯云-区域交付leader（北京）,北京
技术类,2019-03-13,1,position_detail.php?id=48369&keywords=&tid=0&lid=0,PCG19-Android开发工程师,深圳
技术类,2019-03-13,1,position_detail.php?id=48371&keywords=&tid=0&lid=0,CSIG16-车联网后台开发工程师（深圳）,深圳
职能类,2019-03-13,1,position_detail.php?id=48372&keywords=&tid=0&lid=0,26832-招聘专员,深圳
产品/项目类,2019-03-13,2,position_detail.php?id=48373&keywords=&tid=0&lid=0,PCG16-信息流游戏策略产品经理,深圳
设计类,2019-03-13,1,position_detail.php?id=48363&keywords=&tid=0&lid=0,PCG19-腾讯视频app视觉设计师,深圳
技术类,2019-03-13,1,position_detail.php?id=48364&keywords=&tid=0&lid=0,PCG19-腾讯视频iOS开发工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48365&keywords=&tid=0&lid=0,PCG19-腾讯视频数据挖掘高级工程师（深圳）,深圳
技术类,2019-03-13,3,position_detail.php?id=48366&keywords=&tid=0&lid=0,PCG19-大数据开发工程师,深圳
设计类,2019-03-13,1,position_detail.php?id=48367&keywords=&tid=0&lid=0,27730-yoo有视频UI设计师（深圳）,深圳
内容编辑类,2019-03-13,1,position_detail.php?id=48368&keywords=&tid=0&lid=0,22851-腾讯视频娱乐频道值班编辑（北京）,北京
技术类,2019-03-13,1,position_detail.php?id=48358&keywords=&tid=0&lid=0,25927-英雄联盟测试经理（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48359&keywords=&tid=0&lid=0,PCG15-互动视频产品策划经理（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48360&keywords=&tid=0&lid=0,15581-欢乐麻将Unity开发工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48361&keywords=&tid=0&lid=0,25925-Linux C++后台开发工程师,深圳
技术类,2019-03-13,1,position_detail.php?id=48362&keywords=&tid=0&lid=0,GY0-【国际业务部】高级运维开发工程师（深圳）,深圳
职能类,2019-03-13,1,position_detail.php?id=48352&keywords=&tid=0&lid=0,PCG20-部门秘书（北京）,北京
技术类,2019-03-13,3,position_detail.php?id=48353&keywords=&tid=0&lid=0,TME-Moo音乐iOS开发工程师（深圳）,深圳
技术类,2019-03-13,2,position_detail.php?id=48354&keywords=&tid=0&lid=0,TME-Moo音乐Android开发工程师（深圳）,深圳
技术类,2019-03-13,3,position_detail.php?id=48355&keywords=&tid=0&lid=0,TME-QQ音乐商业化后台开发工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48356&keywords=&tid=0&lid=0,16810-腾讯动漫运营开发工程师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48357&keywords=&tid=0&lid=0,25926-游戏安全产品经理（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48347&keywords=&tid=0&lid=0,27566-互动叙事项目内容导演(深圳）,深圳
市场类,2019-03-13,1,position_detail.php?id=48348&keywords=&tid=0&lid=0,25667-金融行业渠道销售,上海
技术类,2019-03-13,2,position_detail.php?id=48349&keywords=&tid=0&lid=0,27570-高级引擎工程师,上海
设计类,2019-03-13,1,position_detail.php?id=48350&keywords=&tid=0&lid=0,PCG19-腾讯视频app交互设计师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48351&keywords=&tid=0&lid=0,PCG19-腾讯视频数据产品经理（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48341&keywords=&tid=0&lid=0,22989-腾讯云计费产品中心总监/计费专家,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48342&keywords=&tid=0&lid=0,31967-直播主播合作运营,深圳
技术类,2019-03-13,1,position_detail.php?id=48343&keywords=&tid=0&lid=0,31967-企鹅电竞客户端开发工程师,深圳
技术类,2019-03-13,1,position_detail.php?id=48344&keywords=&tid=0&lid=0,31967-企鹅电竞系统测试工程师,深圳
技术类,2019-03-13,1,position_detail.php?id=48345&keywords=&tid=0&lid=0,31967-企鹅电竞ios开发工程师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48346&keywords=&tid=0&lid=0,27566-互动叙事合辑高级运营经理(深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48336&keywords=&tid=0&lid=0,25923-后台开发工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48337&keywords=&tid=0&lid=0,25923-数据库工程师(DBA)（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48338&keywords=&tid=0&lid=0,CSIG15-数据挖掘工程师,成都
技术类,2019-03-13,2,position_detail.php?id=48339&keywords=&tid=0&lid=0,22989-腾讯云数据平台产品中心WEB前端开发,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48340&keywords=&tid=0&lid=0,22989-腾讯云平台型高级产品经理（运营产品中心）,深圳
